dataset,color_profile,img_x,img_y,algorithm,train_size,train_time,test_size,test_time,precision,error,origin
cifar,gray,32,32,decision_tree,5000,4.473302364,10000,0.021764517,0.1978,0.8022,colab_2
cifar,gray,32,32,random_forest,5000,10.03258562,10000,0.332614422,0.3481,0.6519,colab_2
cifar,gray,32,32,naive_bayes,5000,0.042859793,10000,0.445495129,0.2713,0.7287,colab_2
cifar,gray,32,32,knn,5000,0.005240917,10000,3.337097883,0.2192,0.7808,colab_2
cifar,gray,32,32,NN,5000,4.454199314,10000,1.423119068,0.100199997,0.899800003,colab_2
cifar,gray,32,32,CNN,5000,10.64499879,10000,1.000646591,0.364399999,0.635600001,colab_2
cifar,color,32,32,SVM_poli,10000,159.8763247,10000,178.2830184,0.4166,0.5834,colab_2
cifar,color,32,32,decision_tree,10000,29.7759726,10000,0.041721106,0.2422,0.7578,colab_2
cifar,color,32,32,random_forest,10000,34.76465869,10000,0.503043175,0.4193,0.5807,colab_2
cifar,color,32,32,naive_bayes,10000,0.225813866,10000,1.325856447,0.293,0.707,colab_2
cifar,color,32,32,knn,10000,0.001822472,10000,16.93663287,0.2785,0.7215,colab_2
cifar,color,32,32,NN,10000,10.66951084,10000,0.917211294,0.100000001,0.899999999,colab_2
cifar,color,32,32,CNN,10000,20.92829132,10000,1.064208984,0.495999992,0.504000008,colab_2
cifar,gray,32,32,SVM_poli,10000,72.4168272,10000,53.29872894,0.3242,0.6758,colab_2
cifar,gray,32,32,decision_tree,10000,9.470312834,10000,0.024140596,0.2093,0.7907,colab_2
cifar,gray,32,32,random_forest,10000,20.21993184,10000,0.386000395,0.3722,0.6278,colab_2
cifar,gray,32,32,naive_bayes,10000,0.098633528,10000,0.443533659,0.2708,0.7292,colab_2
cifar,gray,32,32,knn,10000,0.008135319,10000,6.317188025,0.2374,0.7626,colab_2
cifar,gray,32,32,NN,10000,8.614907742,10000,1.436345339,0.152999997,0.847000003,colab_2
cifar,gray,32,32,CNN,10000,20.89949179,10000,1.424288034,0.505800009,0.494199991,colab_2
cifar,color,32,32,SVM_poli,20000,722.2612996,10000,344.6750345,0.4578,0.5422,colab_2
cifar,color,32,32,decision_tree,20000,62.62973785,10000,0.04202795,0.2527,0.7473,colab_2
cifar,color,32,32,random_forest,20000,76.78362179,10000,0.604645252,0.4394,0.5606,colab_2
cifar,color,32,32,naive_bayes,20000,0.483965635,10000,1.639637232,0.2951,0.7049,colab_2
cifar,color,32,32,knn,20000,0.002136469,10000,34.77547336,0.299,0.701,colab_2
cifar,color,32,32,NN,20000,16.03850698,10000,1.518959045,0.100000001,0.899999999,colab_2
cifar,color,32,32,CNN,20000,20.49899602,10000,1.510473967,0.572799981,0.427200019,colab_2
cifar,gray,32,32,SVM_poli,20000,424.2951732,10000,119.5275488,0.3605,0.6395,colab_2
cifar,gray,32,32,decision_tree,20000,21.1668551,10000,0.048201323,0.2217,0.7783,colab_2
cifar,gray,32,32,random_forest,20000,44.67264509,10000,0.437889099,0.3973,0.6027,colab_2
cifar,gray,32,32,naive_bayes,20000,0.267707586,10000,0.452545166,0.2726,0.7274,colab_2
cifar,gray,32,32,knn,20000,0.016287804,10000,12.45514894,0.261,0.739,colab_2
cifar,gray,32,32,NN,20000,20.87582374,10000,1.416989565,0.100000001,0.899999999,colab_2
cifar,gray,32,32,CNN,20000,19.78271961,10000,1.010751724,0.567399979,0.432600021,colab_2
cifar,color,32,32,SVM_poli,30000,1662.080448,10000,507.8327119,0.4745,0.5255,colab_2
cifar,color,32,32,decision_tree,30000,96.75067353,10000,0.041059017,0.2597,0.7403,colab_2
cifar,color,32,32,random_forest,30000,116.1583216,10000,0.62434721,0.4558,0.5442,colab_2
cifar,color,32,32,naive_bayes,30000,0.736236811,10000,1.303407192,0.2968,0.7032,colab_2
cifar,color,32,32,knn,30000,0.002532482,10000,50.42060781,0.315,0.685,colab_2
cifar,color,32,32,NN,30000,41.53106022,10000,1.012678862,0.100000001,0.899999999,colab_2
cifar,color,32,32,CNN,30000,34.07994509,10000,1.073432207,0.594200015,0.405799985,colab_2
cifar,gray,32,32,SVM_poli,30000,1101.014544,10000,188.6074898,0.373,0.627,colab_2
cifar,gray,32,32,decision_tree,30000,33.41402483,10000,0.037516594,0.2261,0.7739,colab_2
cifar,gray,32,32,random_forest,30000,71.10758924,10000,0.531016588,0.4084,0.5916,colab_2
cifar,gray,32,32,naive_bayes,30000,0.301725626,10000,0.460582972,0.2732,0.7268,colab_2
cifar,gray,32,32,knn,30000,0.022649765,10000,18.66796899,0.2731,0.7269,colab_2
cifar,gray,32,32,NN,30000,24.98328257,10000,1.447804451,0.100000001,0.899999999,colab_2
cifar,gray,32,32,CNN,30000,33.45528865,10000,1.426805019,0.572899997,0.427100003,colab_2
cifar,color,32,32,SVM_poli,5000,24.51297784,10000,44.54596043,0.3877,0.6123,local_1
cifar,color,32,32,decision_tree,5000,10.4169867,10000,0.047999144,0.2268,0.7732,local_1
cifar,color,32,32,random_forest,5000,12.51994777,10000,0.343999624,0.3942,0.6058,local_1
cifar,color,32,32,naive_bayes,5000,0.133000612,10000,1.899999857,0.2952,0.7048,local_1
cifar,color,32,32,knn,5000,0,10000,1.810997248,0.259,0.741,local_1
cifar,color,32,32,NN,5000,1.617998123,10000,0.321000099,0.0999,0.9001,local_1
cifar,color,32,32,CNN,5000,13.56198835,10000,1.206998587,0.458000004,0.541999996,local_1
cifar,gray,32,32,SVM_poli,5000,8.441993713,10000,14.43398714,0.2947,0.7053,local_1
cifar,gray,32,32,decision_tree,5000,3.837994337,10000,0.018999577,0.1986,0.8014,local_1
cifar,gray,32,32,random_forest,5000,7.341994286,10000,0.263999224,0.3559,0.6441,local_1
cifar,gray,32,32,naive_bayes,5000,0.045001268,10000,0.609000206,0.2713,0.7287,local_1
cifar,gray,32,32,knn,5000,0.002998352,10000,0.740998745,0.2192,0.7808,local_1
cifar,gray,32,32,NN,5000,1.374998808,10000,0.263001442,0.100000001,0.899999999,local_1
cifar,gray,32,32,CNN,5000,12.35098958,10000,1.501997232,0.43689999,0.56310001,local_1
cifar,color,32,32,SVM_poli,10000,110.7549002,10000,90.03991961,0.4166,0.5834,local_1
cifar,color,32,32,decision_tree,10000,22.67097878,10000,0.049999237,0.2462,0.7538,local_1
cifar,color,32,32,random_forest,10000,27.77397227,10000,0.440999746,0.416,0.584,local_1
cifar,color,32,32,naive_bayes,10000,0.277999878,10000,1.956998348,0.293,0.707,local_1
cifar,color,32,32,knn,10000,0.000999928,10000,3.545996666,0.2785,0.7215,local_1
cifar,color,32,32,NN,10000,3.494997025,10000,0.37899971,0.100000001,0.899999999,local_1
cifar,color,32,32,CNN,10000,29.33597398,10000,1.228998899,0.439200014,0.560799986,local_1
cifar,gray,32,32,SVM_poli,10000,46.84395742,10000,30.30936074,0.3242,0.6758,local_1
cifar,gray,32,32,decision_tree,10000,7.632995129,10000,0.020000219,0.2096,0.7904,local_1
cifar,gray,32,32,random_forest,10000,16.07998681,10000,0.313860893,0.3731,0.6269,local_1
cifar,gray,32,32,naive_bayes,10000,0.090998173,10000,0.619998932,0.2708,0.7292,local_1
cifar,gray,32,32,knn,10000,0.005999565,10000,1.119999409,0.2374,0.7626,local_1
cifar,gray,32,32,NN,10000,2.497997522,10000,0.268999577,0.196400002,0.803599998,local_1
cifar,gray,32,32,CNN,10000,25.72297645,10000,1.060999155,0.469799995,0.530200005,local_1
cifar,color,32,32,SVM_poli,20000,435.4476073,10000,166.939851,0.4578,0.5422,local_1
cifar,color,32,32,decision_tree,20000,48.86595678,10000,0.045999765,0.2502,0.7498,local_1
cifar,color,32,32,random_forest,20000,59.7589457,10000,0.45699954,0.4411,0.5589,local_1
cifar,color,32,32,naive_bayes,20000,0.524999142,10000,1.860997915,0.2951,0.7049,local_1
cifar,color,32,32,knn,20000,0.000999928,10000,7.040994167,0.299,0.701,local_1
cifar,color,32,32,NN,20000,5.741995096,10000,0.323999643,0.100000001,0.899999999,local_1
cifar,color,32,32,CNN,20000,54.45195198,10000,1.217998743,0.548399985,0.451600015,local_1
cifar,gray,32,32,SVM_poli,20000,263.1267619,10000,59.52694559,0.3605,0.6395,local_1
cifar,gray,32,32,decision_tree,20000,17.02798486,10000,0.025000572,0.2222,0.7778,local_1
cifar,gray,32,32,random_forest,20000,34.73597121,10000,0.344999313,0.3981,0.6019,local_1
cifar,gray,32,32,naive_bayes,20000,0.193997622,10000,0.608999729,0.2726,0.7274,local_1
cifar,gray,32,32,knn,20000,0.010999918,10000,2.013997793,0.261,0.739,local_1
cifar,gray,32,32,NN,20000,4.667995691,10000,0.264000177,0.0999,0.9001,local_1
cifar,gray,32,32,CNN,20000,50.92895436,10000,1.0589993,0.574999988,0.425000012,local_1
cifar,color,32,32,SVM_poli,30000,965.6735353,10000,249.7757754,0.4745,0.5255,local_1
cifar,color,32,32,decision_tree,30000,80.31092858,10000,0.050999641,0.2629,0.7371,local_1
cifar,color,32,32,random_forest,30000,93.95091581,10000,0.505999565,0.4567,0.5433,local_1
cifar,color,32,32,naive_bayes,30000,0.781999826,10000,1.873997927,0.2968,0.7032,local_1
